Nev;Jaras;Kisterseg;Nepesseg;Terulet
Sárvár;Sárvári;Sárvári;15000;64.65
Celldömölk;Celldömölki;Celldömölki;10000;52.39
Körmend;Körmendi;Körmendi;11000;52.79
Mohács;Mohácsi;Mohácsi;17000;112.23
Siklós;Siklósi;Siklósi;9000;50.92
Kalocsa;Kalocsai;Kalocsai;15000;53.18
Kiskőrös;Kiskőrösi;Kiskőrösi;13000;102.23
Paks;Paksi;Paksi;18000;154.08
Bonyhád;Bonyhádi;Bonyhádi;13000;72.14
Mezőkövesd;Mezőkövesdi;Mezőkövesdi;16000;100.52
Tiszaújváros;Tiszaújvárosi;Tiszaújvárosi;15000;46.04
Göd;Dunakeszi;Dunakeszi;21000;22.24
Fót;Dunakeszi;Dunakeszi;21000;37.40
Budaörs;Budakeszi;Budaörsi;29000;23.59
Szentendre;Szentendrei;Szentendrei;28000;43.83
Ráckeve;Ráckevei;Ráckevei;11000;64.09
Monor;Monori;Monori;19000;46.79
Dabas;Dabasi;Dabasi;17000;165.17
Nagykáta;Nagykátai;Nagykátai;12000;81.61
Hatvan;Hatvani;Hatvani;20000;66.17
Füzesabony;Füzesabonyi;Füzesabonyi;7000;46.34
Békés;Békési;Békési;18000;127.23
Szarvas;Szarvasi;Szarvasi;15000;161.57
Mezőberény;Békési;Békési;10000;118.53
Csongrád;Csongrádi;Csongrádi;15000;173.89
Kistelek;Kisteleki;Kisteleki;7000;69.19
Mórahalom;Mórahalmi;Mórahalmi;6500;83.15
Nyírbátor;Nyírbátori;Nyírbátori;12000;66.73
Fehérgyarmat;Fehérgyarmati;Fehérgyarmati;7500;52.46
Vásárosnamény;Vásárosnaményi;Vásárosnaményi;8500;65.66
Püspökladány;Püspökladányi;Püspökladányi;14000;186.95
Derecske;Derecskei;Derecske-Létavértesi;8500;103.58
Létavértes;Derecskei;Derecske-Létavértesi;6500;116.62
